geometry,address
GEOMETRYCOLLECTION EMPTY,
POINT (37.4182775 55.7308917),"Кунцевская улица, Кунцево, Москва, район Кунцево, Москва, Центральный федеральный округ, 121351, Россия"
POINT (37.8085947 55.8273783),"Курганская улица, район Гольяново, Москва, Центральный федеральный округ, 107065, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.1963937 55.5850066),"Давыдково, поселение Марушкинское, Москва, Центральный федеральный округ, 108809, Россия"
POINT (37.6375537 55.8020063),"Кучин переулок, Жилой комплекс ""Парк Мира"", Алексеевский район, Москва, Центральный федеральный округ, 129085, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.3935498 55.889406),"Ландышевая улица, район Куркино, Москва, Центральный федеральный округ, 125466, Россия"
POINT (37.5087675 55.7640694),"улица Шеногина, район Хорошёво-Мнёвники, Москва, Центральный федеральный округ, 123007, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.65056 55.8039508),"Кулаков переулок, Алексеевский район, Москва, Центральный федеральный округ, 129626, Россия"
POINT (37.8513124 55.7081644),"Лениногорская улица, район Косино-Ухтомский, Москва, Центральный федеральный округ, 111625, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.2430709 55.4447117),"Былово, поселение Краснопахорское, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6772516 55.7700005),"Лефортовский переулок, Басманный район, Москва, Центральный федеральный округ, 105005, Россия"
POINT (37.7426081 55.7904543),"Лечебная улица, район Соколиная Гора, Москва, Центральный федеральный округ, 105187, Россия"
POINT (37.5525741 55.8982978),"Лианозовский проезд, район Лианозово, Москва, Центральный федеральный округ, 127572, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5688573 55.8413377),"Линейный проезд, Тимирязевский район, Москва, Центральный федеральный округ, 127238, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5438405 55.6057703),"Литовский бульвар, район Ясенево, Москва, Центральный федеральный округ, 117593, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7904346 55.6937853),"Кузьминская улица, район Кузьминки, Москва, Центральный федеральный округ, 109472, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5868893 55.7515134),"Композиторская улица, район Арбат, Москва, Центральный федеральный округ, 121099, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.4823667 55.8456918),"Конаковский проезд, Головинский район, Москва, Центральный федеральный округ, 125565, Россия"
POINT (37.6897211 55.7701137),"Кондрашёвский тупик, Басманный район, Москва, Центральный федеральный округ, 105082, Россия"
POINT (37.5698994 55.723645),"Кооперативная улица, Квартал №533, район Хамовники, Москва, Центральный федеральный округ, 119048, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.5255429 55.8309942),"Коптевский бульвар, Коптево, Москва, район Коптево, Москва, Центральный федеральный округ, 125239, Россия"
POINT (36.9402357 55.4641504),"Яковлевское, поселение Новофёдоровское, Москва, Центральный федеральный округ, Россия"
POINT (37.664798 55.7486637),"Костомаровская набережная, Таганский район, Москва, Центральный федеральный округ, 105120, Россия"
POINT (37.1091943 55.6017314),"Озёрная улица, Крёкшино, совхоза Крёкшино, поселение Марушкинское, Москва, Центральный федеральный округ, 143391, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.5450341 55.7635042),"Красногвардейский бульвар, Пресненский район, Москва, Центральный федеральный округ, 123317, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.7068734 55.7548295),"Красноказарменный проезд, Квартал Свобода, район Лефортово, Москва, Центральный федеральный округ, 111250, Россия"
POINT (37.6739179 55.7871599),"улица Шумкина, Сокольники, Москва, район Сокольники, Москва, Центральный федеральный округ, 107113, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7742002 55.7084805),"улица Шумилова, район Кузьминки, Москва, Центральный федеральный округ, 109443, Россия"
POINT (37.6134163 55.7479174),"Кремлёвская набережная, 15, 39, Тверской район, Москва, Центральный федеральный округ, 119019, Россия"
POINT (37.5898637 55.7479367),"Кривоарбатский переулок, 35, район Арбат, Москва, Центральный федеральный округ, 119002, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.4060758 55.6459288),"улица Щорса, район Солнцево, Москва, Центральный федеральный округ, 119620, Россия"
POINT (36.9958302 55.2218249),"Каменка, поселение Роговское, Москва, Центральный федеральный округ, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.7152838 55.8770123),"Лосевская улица, Ярославский район, Москва, Центральный федеральный округ, 129347, Россия"
POINT (37.3320416 55.6355757),"улица Корнея Чуковского, ЖК «Переделкино Ближнее», поселение Внуковское, Москва, Центральный федеральный округ, 119634, Россия"
POINT (37.580552 55.7579119),"Малый Конюшковский переулок, Пресненский район, Москва, Центральный федеральный округ, 123242, Россия"
POINT (37.5322358 55.8094537),"Малый Коптевский проезд, район Аэропорт, Москва, Центральный федеральный округ, 125315, Россия"
POINT (37.5902003 55.741599),"Малый Лёвшинский переулок, 33, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
POINT (37.5923797 55.750692),"Малый Николопесковский переулок, 35, район Арбат, Москва, Центральный федеральный округ, 119002, Россия"
POINT (37.66059 55.7522747),"Малый Полуярославский переулок, Таганский район, Москва, Центральный федеральный округ, 105120, Россия"
POINT (37.6079159 55.7668121),"Малый Путинковский переулок, 50, Тверской район, Москва, Центральный федеральный округ, 127006, Россия"
POINT (37.5589457 55.7314947),"Малый Саввинский переулок, 531, район Хамовники, Москва, Центральный федеральный округ, 119435, Россия"
POINT (37.6328645 55.7378682),"Малый Татарский переулок, район Замоскворечье, Москва, Центральный федеральный округ, 115184, Россия"
POINT (37.6191273 55.7419345),"Малый Толмачёвский переулок, район Якиманка, Москва, Центральный федеральный округ, 119017, Россия"
POINT (37.5989172 55.7663568),"Мамоновский переулок, 49, Тверской район, Москва, Центральный федеральный округ, 123001, Россия"
POINT (37.5942452 55.7400032),"Мансуровский переулок, 33, район Хамовники, Москва, Центральный федеральный округ, 119034, Россия"
POINT (37.6122333 55.7709947),"Малый Каретный переулок, Тверской район, Москва, Центральный федеральный округ, 127051, Россия"
POINT (37.3254436 55.6470531),"улица Ф. Энгельса, посёлок Литгазеты, ДСК «Мичуринец», поселение Внуковское, Москва, Центральный федеральный округ, 108850, Россия"
POINT (37.5809685 55.8193981),"улица Фонвизина, Бутырский район, Москва, Центральный федеральный округ, 127322, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.3850731 55.9114056),"Машкинское шоссе, район Куркино, Москва, Центральный федеральный округ, 141411, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.6880177 55.7406127),"Международная улица, Таганский район, Москва, Центральный федеральный округ, 109544, Россия"
GEOMETRYCOLLECTION EMPTY,
POINT (37.2638954 55.6358987),"Внуково, поселение Внуковское, Москва, Центральный федеральный округ, Россия"
POINT (37.5993217 55.753111),"Мерзляковский переулок, 36, район Арбат, Москва, Центральный федеральный округ, 121069, Россия"
POINT (37.6987499 55.816051),"Миллионная улица, Богородское, район Богородское, Москва, Центральный федеральный округ, 107564, Россия"
GEOMETRYCOLLECTION EMPTY,
GEOMETRYCOLLECTION EMPTY,
POINT (37.6017313 55.789514),"Минаевский переулок, район Марьина Роща, Москва, Центральный федеральный округ, 127055, Россия"
POINT (37.7392669 55.6744387),"Мариупольская улица, район Люблино, Москва, Центральный федеральный округ, 109382, Россия"
POINT (37.7107997 55.7679022),"Лонгиновская улица, район Лефортово, Москва, Центральный федеральный округ, 111020, Россия"
POINT (37.6546738 55.7611369),"Малый Казённый переулок, Ивановская горка, Басманный район, Москва, Центральный федеральный округ, 105064, Россия"
POINT (37.6047049 55.7469648),"Малый Знаменский переулок, 31, район Хамовники, Москва, Центральный федеральный округ, 119019, Россия"
